nombre,población,superficie_km2,continente
Tunisia,10175014,423748,Africa
Turkey,70413958,2021694,Asia
Turks & Caicos Is,21152,1114,America
Tuvalu,11810,67,Oceania
Uganda,28195754,611341,Africa
United Arab Emirates,2602713,214658,Asia
United Kingdom,60609153,634081,Europa
United States,298444215,24945281,America
Uruguay,3431932,456408,America
Vanuatu,208869,31598,Oceania
Venezuela,25730435,2362200,America
Vietnam,84402966,853557,Asia
Virgin Islands,108605,4947,America
Wallis and Futuna,16025,710,Oceania
West Bank,2460492,15177,Asia
Western Sahara,273008,688937,Africa
Yemen,21456188,1367437,Asia
Zambia,11502010,1949263,Africa
Zimbabwe,12236805,1011598,Africa

